Iteration,Latitude,Longitude,Altitude,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,Phi,Theta,Psi,PhiDot,ThetaDot,PsiDot,Articulated Landing Gear,Articulated Elevator,Articulated Rudder,Articulated Speed Brake,Articulated LW Aileron,Articulated LW Flap,Articulated RW Aileron,Articulated RW Flap,Articulated LH Elevator,Articulated RH Elevator,Articulated LW Roll Spoiler,Articulated RW Roll Spoiler,Articulated Propeller,Articulated Propeller 1,Articulated Propeller 2,Articulated Propeller 3,Articulated Propeller 4
114.500,0.87499038,0.18906659,1492.68237305,-1.93303,-153.77049,-1.45144,13.75046,-0.20489,-0.51380,0.92845,0.04437,-1.53875,-0.12018,-0.00760,0.07689,1.00000,0.00000,-0.01029,0.00000,0.05283,0.00000,-0.05283,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.525,0.87499037,0.18906565,1492.71838379,-1.59185,-153.77490,-1.45681,13.64719,-0.17645,-0.21492,0.92498,0.04415,-1.53695,-0.13889,-0.00884,0.07164,1.00000,0.00000,-0.01029,0.00000,0.05283,0.00000,-0.05283,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.550,0.87499037,0.18906471,1492.75439453,-1.25473,-153.77863,-1.45803,13.48517,-0.14890,-0.04891,0.92132,0.04392,-1.53527,-0.14657,-0.00952,0.06725,1.00000,0.00000,-0.00751,0.00000,0.01356,0.00000,-0.01356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.575,0.87499037,0.18906377,1492.79040527,-0.92268,-153.78165,-1.45683,13.28188,-0.12109,0.04818,0.91757,0.04368,-1.53368,-0.14978,-0.00978,0.06359,1.00000,0.00000,-0.00751,0.00000,0.01356,0.00000,-0.01356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.600,0.87499036,0.18906283,1492.82629395,-0.59625,-153.78404,-1.45333,13.05731,-0.09554,0.13982,0.91379,0.04344,-1.53217,-0.15120,-0.00969,0.06058,1.00000,0.00000,-0.00429,0.00000,-0.02571,0.00000,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.625,0.87499036,0.18906189,1492.86230469,-0.27467,-153.78581,-1.44827,12.86283,-0.07060,0.20240,0.90999,0.04321,-1.53071,-0.15190,-0.00933,0.05815,1.00000,0.00000,-0.00429,0.00000,-0.02571,0.00000,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.650,0.87499036,0.18906096,1492.89831543,0.04200,-153.78699,-1.44236,12.66695,-0.04715,0.23665,0.90619,0.04299,-1.52931,-0.15233,-0.00880,0.05618,1.00000,0.00000,0.00037,0.00000,-0.06498,0.00000,0.06498,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.675,0.87499036,0.18906002,1492.93432617,0.35375,-153.78761,-1.43536,12.47007,-0.02509,0.28004,0.90237,0.04279,-1.52795,-0.15265,-0.00816,0.05459,1.00000,0.00000,0.00037,0.00000,-0.06498,0.00000,0.06498,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.700,0.87499037,0.18905908,1492.97021484,0.66149,-153.78772,-1.42778,12.30954,-0.00407,0.30302,0.89855,0.04261,-1.52661,-0.15294,-0.00747,0.05331,1.00000,0.00000,0.00479,0.00000,-0.09996,0.00000,0.09996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.725,0.87499037,0.18905814,1493.00622559,0.96515,-153.78725,-1.42015,12.14629,0.01865,0.30533,0.89472,0.04244,-1.52531,-0.15322,-0.00678,0.05229,1.00000,0.00000,0.00479,0.00000,-0.09996,0.00000,0.09996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.750,0.87499038,0.18905720,1493.04223633,1.26463,-153.78625,-1.41208,11.97935,0.03972,0.32269,0.89088,0.04229,-1.52402,-0.15351,-0.00612,0.05147,1.00000,0.00000,0.00855,0.00000,-0.09566,0.00000,0.09566,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.775,0.87499038,0.18905626,1493.07824707,1.56078,-153.78473,-1.40397,11.84586,0.06133,0.32457,0.88703,0.04216,-1.52275,-0.15379,-0.00551,0.05082,1.00000,0.00000,0.00855,0.00000,-0.09566,0.00000,0.09566,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.800,0.87499039,0.18905532,1493.11413574,1.85345,-153.78267,-1.39622,11.70680,0.08235,0.31006,0.88318,0.04204,-1.52150,-0.15408,-0.00498,0.05030,1.00000,0.00000,0.01147,0.00000,-0.09345,0.00000,0.09345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.825,0.87499040,0.18905438,1493.15002441,2.14248,-153.78014,-1.38836,11.56142,0.10157,0.31441,0.87932,0.04193,-1.52025,-0.15436,-0.00454,0.04989,1.00000,0.00000,0.01147,0.00000,-0.09345,0.00000,0.09345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.850,0.87499041,0.18905345,1493.18579102,2.42866,-153.77710,-1.38069,11.44694,0.12120,0.30646,0.87546,0.04183,-1.51901,-0.15464,-0.00419,0.04958,1.00000,0.00000,0.01354,0.00000,-0.09121,0.00000,0.09121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.875,0.87499043,0.18905251,1493.22143555,2.71179,-153.77359,-1.37355,11.32520,0.14026,0.28556,0.87158,0.04173,-1.51778,-0.15491,-0.00392,0.04934,1.00000,0.00000,0.01354,0.00000,-0.09121,0.00000,0.09121,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.900,0.87499044,0.18905157,1493.25708008,2.99166,-153.76962,-1.36641,11.19504,0.15868,0.28588,0.86770,0.04164,-1.51655,-0.15517,-0.00376,0.04916,1.00000,0.00000,0.01477,0.00000,-0.08880,0.00000,0.08880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.925,0.87499045,0.18905063,1493.29248047,3.26902,-153.76520,-1.35950,11.09449,0.17677,0.27631,0.86382,0.04155,-1.51532,-0.15541,-0.00368,0.04903,1.00000,0.00000,0.01477,0.00000,-0.08880,0.00000,0.08880,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.950,0.87499047,0.18904969,1493.32763672,3.54365,-153.76035,-1.35312,10.98488,0.19438,0.25512,0.85993,0.04146,-1.51410,-0.15564,-0.00367,0.04894,1.00000,0.00000,0.01526,0.00000,-0.08635,0.00000,0.08635,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.975,0.87499049,0.18904875,1493.36267090,3.81530,-153.75505,-1.34670,10.86597,0.21155,0.25684,0.85603,0.04137,-1.51288,-0.15585,-0.00375,0.04888,1.00000,0.00000,0.01526,0.00000,-0.08635,0.00000,0.08635,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
115.000,0.87499051,0.18904782,1493.39758301,4.08469,-153.74934,-1.34045,10.77565,0.22824,0.24987,0.85213,0.04128,-1.51166,-0.15605,-0.00388,0.04885,1.00000,0.00000,0.01510,0.00000,-0.08398,0.00000,0.08398,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
115.025,0.87499052,0.18904688,1493.43212891,4.35157,-153.74323,-1.33465,10.67549,0.24484,0.23213,0.84822,0.04118,-1.51044,-0.15622,-0.00406,0.04883,1.00000,0.00000,0.01510,0.00000,-0.08398,0.00000,0.08398,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
115.050,0.87499054,0.18904594,1493.46655273,4.61571,-153.73671,-1.32870,10.56526,0.26074,0.23793,0.84432,0.04107,-1.50922,-0.15638,-0.00429,0.04883,1.00000,0.00000,0.01442,0.00000,-0.08183,0.00000,0.08183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
